Trans Date,Remarks,Debit,Credit,Balance
18-Sep-2016,WHOLE FOODS #4821,40.23,,11972.45
18-Sep-2016,UBER EATS,33.68,,11938.77
18-Sep-2016,IKEA,255.11,,11683.66
22-Sep-2016,UBER TRIP,65.13,,11618.53
22-Sep-2016,METRO TRANSIT,46.76,,11571.77
23-Sep-2016,METRO TRANSIT,35.43,,11536.34
25-Sep-2016,CHEVRON,69.99,,11466.35
26-Sep-2016,TARGET.COM,22.70,,11443.65
27-Sep-2016,WHOLE FOODS #4821,132.69,,11310.96
27-Sep-2016,CHIPOTLE ONLINE,10.81,,11300.15
27-Sep-2016,UBER TRIP,57.95,,11242.20
28-Sep-2016,APPLE.COM/BILL,243.27,,10998.93
28-Sep-2016,AMC THEATRES,19.72,,10979.21
28-Sep-2016,ATM WITHDRAWAL,239.45,,10739.76
29-Sep-2016,TARGET.COM,29.79,,10709.97
29-Sep-2016,DISNEYPLUS,63.22,,10646.75
30-Sep-2016,UBER EATS,10.72,,10636.03
1-Oct-2016,ACH CREDIT EMPLOYER PAYROLL,,5343.79,15979.82
1-Oct-2016,SPOTIFY USA,41.60,,15938.22
2-Oct-2016,VENMO PAYMENT,65.34,,15872.88
3-Oct-2016,BILL PAY RENT LANDLORD,1349.15,,14523.73
4-Oct-2016,UBER EATS,84.24,,14439.49
4-Oct-2016,CHIPOTLE ONLINE,41.79,,14397.70
5-Oct-2016,CITY WATER BILL,156.66,,14241.04
6-Oct-2016,COSTCO WHSE,29.73,,14211.31
6-Oct-2016,HOME DEPOT,13.27,,14198.04
7-Oct-2016,PLANET FITNESS,29.32,,14168.72
8-Oct-2016,PARKING GARAGE,50.01,,14118.71
9-Oct-2016,COSTCO WHSE,110.84,,14007.87
10-Oct-2016,CHEVRON,4.70,,14003.17
11-Oct-2016,IKEA,247.96,,13755.21
12-Oct-2016,LOCAL BISTRO,25.07,,13730.14
13-Oct-2016,STARBUCKS STORE,8.83,,13721.31
13-Oct-2016,PARKING GARAGE,22.87,,13698.44
14-Oct-2016,VERIZON WIRELESS,176.26,,13522.18
14-Oct-2016,WALMART SUPERCENTER,25.77,,13496.41
14-Oct-2016,UBER EATS,47.12,,13449.29
14-Oct-2016,METRO TRANSIT,30.19,,13419.10
15-Oct-2016,ALDI 729,120.21,,13298.89
16-Oct-2016,WHOLE FOODS #4821,23.51,,13275.38
16-Oct-2016,PARKING GARAGE,29.69,,13245.69
19-Oct-2016,HOME DEPOT,149.72,,13095.97
20-Oct-2016,SUSHI HOUSE,54.86,,13041.11
20-Oct-2016,AMAZON.COM,162.82,,12878.29
20-Oct-2016,CVS/PHARMACY,58.70,,12819.59
22-Oct-2016,LYFT RIDE,8.20,,12811.39
23-Oct-2016,LOCAL BISTRO,73.90,,12737.49
23-Oct-2016,UBER TRIP,46.09,,12691.40
24-Oct-2016,DISNEYPLUS,43.24,,12648.16
25-Oct-2016,COMCAST CABLE,181.37,,12466.79
25-Oct-2016,COMCAST CABLE,184.80,,12281.99
26-Oct-2016,WHOLE FOODS #4821,123.08,,12158.91
27-Oct-2016,WHOLE FOODS #4821,113.57,,12045.34
27-Oct-2016,PARKING GARAGE,9.16,,12036.18
28-Oct-2016,SUSHI HOUSE,43.73,,11992.45
28-Oct-2016,CHEVRON,54.31,,11938.14
28-Oct-2016,SPOTIFY USA,37.15,,11900.99
31-Oct-2016,FRESH MARKET,94.32,,11806.67
1-Nov-2016,TRADER JOE'S,75.43,,11731.24
1-Nov-2016,ALDI 729,35.74,,11695.50
2-Nov-2016,EZ PASS TOLL,70.17,,11625.33
2-Nov-2016,HOME DEPOT,49.43,,11575.90
3-Nov-2016,ACH CREDIT EMPLOYER PAYROLL,,5160.92,16736.82
3-Nov-2016,BILL PAY RENT LANDLORD,1344.83,,15391.99
3-Nov-2016,COSTCO WHSE,43.80,,15348.19
3-Nov-2016,CHIPOTLE ONLINE,78.98,,15269.21
3-Nov-2016,METRO TRANSIT,34.77,,15234.44
4-Nov-2016,MCDONALD'S,34.78,,15199.66
4-Nov-2016,CHEVRON,52.30,,15147.36
5-Nov-2016,CVS/PHARMACY,106.07,,15041.29
6-Nov-2016,EZ PASS TOLL,25.22,,15016.07
8-Nov-2016,CHIPOTLE ONLINE,16.26,,14999.81
8-Nov-2016,LYFT RIDE,16.51,,14983.30
8-Nov-2016,SHELL OIL,36.99,,14946.31
9-Nov-2016,ELECTRIC COMPANY,58.81,,14887.50
9-Nov-2016,ALDI 729,79.99,,14807.51
9-Nov-2016,IKEA,276.51,,14531.00
10-Nov-2016,ETSY.COM,245.71,,14285.29
11-Nov-2016,PIZZA HUT,65.75,,14219.54
11-Nov-2016,ATM WITHDRAWAL,207.40,,14012.14
12-Nov-2016,PIZZA HUT,66.21,,13945.93
12-Nov-2016,TICKETMASTER,23.65,,13922.28
13-Nov-2016,FRESH MARKET,73.33,,13848.95
13-Nov-2016,CHEVRON,16.40,,13832.55
14-Nov-2016,CITY MEDICAL CLINIC,100.91,,13731.64
15-Nov-2016,VERIZON WIRELESS,123.02,,13608.62
16-Nov-2016,VENMO CASHOUT,,1079.31,14687.93
16-Nov-2016,PARKING GARAGE,47.84,,14640.09
16-Nov-2016,LYFT RIDE,8.92,,14631.17
17-Nov-2016,COSTCO WHSE,130.37,,14500.80
17-Nov-2016,BEST BUY,199.74,,14301.06
18-Nov-2016,WHOLE FOODS #4821,59.85,,14241.21
20-Nov-2016,PARKING GARAGE,22.65,,14218.56
21-Nov-2016,AMAZON MKTP,241.42,,13977.14
21-Nov-2016,STEAM GAMES,39.40,,13937.74
22-Nov-2016,ETSY.COM,173.47,,13764.27
23-Nov-2016,ELECTRIC COMPANY,88.14,,13676.13
23-Nov-2016,LYFT RIDE,25.10,,13651.03
24-Nov-2016,ETSY.COM,30.98,,13620.05
25-Nov-2016,TARGET.COM,33.83,,13586.22
25-Nov-2016,BEST BUY,203.98,,13382.24
26-Nov-2016,BEST BUY,90.38,,13291.86
26-Nov-2016,ETSY.COM,122.05,,13169.81
27-Nov-2016,AMAZON.COM,207.34,,12962.47
28-Nov-2016,COSTCO WHSE,60.41,,12902.06
2-Dec-2016,ACH CREDIT EMPLOYER PAYROLL,,5223.70,18125.76
2-Dec-2016,WALMART SUPERCENTER,131.89,,17993.87
2-Dec-2016,UBER TRIP,26.93,,17966.94
3-Dec-2016,BILL PAY RENT LANDLORD,1347.57,,16619.37
3-Dec-2016,KROGER #1190,69.80,,16549.57
5-Dec-2016,DOORDASH*RESTAURANT,8.37,,16541.20
5-Dec-2016,AMC THEATRES,15.99,,16525.21
7-Dec-2016,VERIZON WIRELESS,192.34,,16332.87
8-Dec-2016,CITY WATER BILL,111.81,,16221.06
8-Dec-2016,SUSHI HOUSE,53.95,,16167.11
9-Dec-2016,SPOTIFY USA,63.54,,16103.57
10-Dec-2016,COMCAST CABLE,105.93,,15997.64
11-Dec-2016,UBER TRIP,20.89,,15976.75
13-Dec-2016,DISNEYPLUS,9.36,,15967.39
14-Dec-2016,CHEVRON,30.50,,15936.89
15-Dec-2016,STARBUCKS STORE,64.19,,15872.70
15-Dec-2016,UBER TRIP,32.42,,15840.28
15-Dec-2016,BEST BUY,64.74,,15775.54
16-Dec-2016,VENMO CASHOUT,,532.39,16307.93
16-Dec-2016,MCDONALD'S,56.41,,16251.52
16-Dec-2016,DOORDASH*RESTAURANT,30.36,,16221.16
16-Dec-2016,EZ PASS TOLL,24.78,,16196.38
18-Dec-2016,TRADER JOE'S,77.42,,16118.96
18-Dec-2016,CHEVRON,30.80,,16088.16
18-Dec-2016,APPLE.COM/BILL,127.74,,15960.42
19-Dec-2016,VENMO PAYMENT,67.03,,15893.39
21-Dec-2016,ACH CREDIT YEAR END BONUS,,2064.20,17957.59
21-Dec-2016,COSTCO WHSE,100.81,,17856.78
22-Dec-2016,TRADER JOE'S,138.95,,17717.83
22-Dec-2016,UBER TRIP,41.22,,17676.61
23-Dec-2016,PARKING GARAGE,33.69,,17642.92
24-Dec-2016,PIZZA HUT,64.86,,17578.06
26-Dec-2016,APPLE.COM/BILL,239.61,,17338.45
27-Dec-2016,WALMART SUPERCENTER,117.70,,17220.75
28-Dec-2016,WALMART SUPERCENTER,111.65,,17109.10
29-Dec-2016,COSTCO WHSE,144.60,,16964.50
29-Dec-2016,PLANET FITNESS,72.74,,16891.76
30-Dec-2016,MCDONALD'S,32.36,,16859.40
1-Jan-2017,ACH CREDIT EMPLOYER PAYROLL,,5548.22,22407.62
1-Jan-2017,WHOLE FOODS #4821,153.91,,22253.71
1-Jan-2017,TRADER JOE'S,37.62,,22216.09
2-Jan-2017,PIZZA HUT,62.01,,22154.08
2-Jan-2017,IKEA,54.74,,22099.34
3-Jan-2017,BILL PAY RENT LANDLORD,1395.84,,20703.50
4-Jan-2017,KROGER #1190,109.61,,20593.89
4-Jan-2017,PIZZA HUT,76.20,,20517.69
6-Jan-2017,GAS UTILITY,84.48,,20433.21
7-Jan-2017,SPOTIFY USA,19.59,,20413.62
7-Jan-2017,STEAM GAMES,45.58,,20368.04
10-Jan-2017,SPOTIFY USA,18.06,,20349.98
11-Jan-2017,AMAZON.COM,194.67,,20155.31
12-Jan-2017,LOCAL BISTRO,52.19,,20103.12
12-Jan-2017,BEST BUY,85.18,,20017.94
14-Jan-2017,VERIZON WIRELESS,95.68,,19922.26
14-Jan-2017,FRESH MARKET,101.29,,19820.97
14-Jan-2017,EZ PASS TOLL,30.89,,19790.08
15-Jan-2017,ALDI 729,140.49,,19649.59
15-Jan-2017,INSURANCE ANNUAL PREMIUM,975.96,,18673.63
16-Jan-2017,UBER TRIP,49.18,,18624.45
16-Jan-2017,VENMO PAYMENT,131.27,,18493.18
17-Jan-2017,DENTAL CARE,138.59,,18354.59
18-Jan-2017,MCDONALD'S,54.14,,18300.45
18-Jan-2017,IKEA,149.28,,18151.17
20-Jan-2017,SHELL OIL,45.30,,18105.87
20-Jan-2017,LYFT RIDE,30.00,,18075.87
21-Jan-2017,EZ PASS TOLL,69.01,,18006.86
21-Jan-2017,SHELL OIL,38.08,,17968.78
21-Jan-2017,IKEA,264.66,,17704.12
23-Jan-2017,MCDONALD'S,61.97,,17642.15
24-Jan-2017,ALDI 729,48.16,,17593.99
24-Jan-2017,UBER EATS,8.69,,17585.30
24-Jan-2017,UBER EATS,10.29,,17575.01
24-Jan-2017,EZ PASS TOLL,6.66,,17568.35
24-Jan-2017,CHEVRON,23.87,,17544.48
24-Jan-2017,WALGREENS,9.43,,17535.05
26-Jan-2017,STARBUCKS STORE,72.83,,17462.22
27-Jan-2017,COSTCO WHSE,150.42,,17311.80
28-Jan-2017,EZ PASS TOLL,10.65,,17301.15
29-Jan-2017,AMC THEATRES,30.21,,17270.94
30-Jan-2017,UBER TRIP,60.39,,17210.55
30-Jan-2017,METRO TRANSIT,54.03,,17156.52
31-Jan-2017,SHELL OIL,33.38,,17123.14
1-Feb-2017,ACH CREDIT EMPLOYER PAYROLL,,5380.36,22503.50
2-Feb-2017,PIZZA HUT,81.48,,22422.02
2-Feb-2017,UBER EATS,12.85,,22409.17
2-Feb-2017,SHELL OIL,14.59,,22394.58
2-Feb-2017,EZ PASS TOLL,10.01,,22384.57
2-Feb-2017,METRO TRANSIT,13.81,,22370.76
2-Feb-2017,APPLE.COM/BILL,225.47,,22145.29
2-Feb-2017,TICKETMASTER,58.67,,22086.62
3-Feb-2017,BILL PAY RENT LANDLORD,1390.44,,20696.18
4-Feb-2017,VENMO PAYMENT,120.55,,20575.63
5-Feb-2017,SUSHI HOUSE,72.27,,20503.36
5-Feb-2017,PARKING GARAGE,56.41,,20446.95
7-Feb-2017,METRO TRANSIT,16.65,,20430.30
7-Feb-2017,AMAZON.COM,192.43,,20237.87
7-Feb-2017,AMC THEATRES,9.25,,20228.62
9-Feb-2017,TRADER JOE'S,29.13,,20199.49
9-Feb-2017,ALDI 729,25.13,,20174.36
9-Feb-2017,WHOLE FOODS #4821,22.07,,20152.29
10-Feb-2017,TRADER JOE'S,35.42,,20116.87
10-Feb-2017,WALMART SUPERCENTER,52.95,,20063.92
10-Feb-2017,MCDONALD'S,69.09,,19994.83
11-Feb-2017,DENTAL CARE,91.62,,19903.21
12-Feb-2017,CITY WATER BILL,83.21,,19820.00
12-Feb-2017,PIZZA HUT,31.12,,19788.88
13-Feb-2017,ELECTRIC COMPANY,131.46,,19657.42
13-Feb-2017,WHOLE FOODS #4821,91.36,,19566.06
13-Feb-2017,CHEVRON,19.46,,19546.60
14-Feb-2017,DOORDASH*RESTAURANT,19.82,,19526.78
16-Feb-2017,EZ PASS TOLL,45.26,,19481.52
16-Feb-2017,SHELL OIL,20.26,,19461.26
17-Feb-2017,DISNEYPLUS,38.44,,19422.82
19-Feb-2017,PIZZA HUT,77.13,,19345.69
20-Feb-2017,TRADER JOE'S,54.44,,19291.25
21-Feb-2017,AMAZON.COM,220.34,,19070.91
22-Feb-2017,CHEVRON,5.44,,19065.47
24-Feb-2017,AMAZON MKTP,207.67,,18857.80
26-Feb-2017,PLANET FITNESS,179.56,,18678.24
27-Feb-2017,METRO TRANSIT,7.03,,18671.21
27-Feb-2017,NETFLIX.COM,24.21,,18647.00
28-Feb-2017,ALDI 729,157.01,,18489.99
1-Mar-2017,ACH CREDIT EMPLOYER PAYROLL,,5466.06,23956.05
3-Mar-2017,BILL PAY RENT LANDLORD,1405.83,,22550.22
4-Mar-2017,UBER EATS,12.47,,22537.75
5-Mar-2017,ELECTRIC COMPANY,94.69,,22443.06
5-Mar-2017,DOORDASH*RESTAURANT,50.74,,22392.32
5-Mar-2017,TARGET.COM,61.68,,22330.64
6-Mar-2017,LOCAL BISTRO,19.32,,22311.32
7-Mar-2017,EZ PASS TOLL,64.54,,22246.78
7-Mar-2017,TARGET.COM,220.61,,22026.17
9-Mar-2017,UBER TRIP,25.37,,22000.80
9-Mar-2017,BEST BUY,140.69,,21860.11
11-Mar-2017,UBER TRIP,22.55,,21837.56
12-Mar-2017,PARKING GARAGE,27.38,,21810.18
13-Mar-2017,EZ PASS TOLL,65.95,,21744.23
13-Mar-2017,PARKING GARAGE,53.92,,21690.31
14-Mar-2017,DOORDASH*RESTAURANT,75.12,,21615.19
15-Mar-2017,CVS/PHARMACY,27.77,,21587.42
15-Mar-2017,NETFLIX.COM,29.53,,21557.89
16-Mar-2017,PARKING GARAGE,29.52,,21528.37
16-Mar-2017,METRO TRANSIT,54.89,,21473.48
17-Mar-2017,WHOLE FOODS #4821,142.44,,21331.04
17-Mar-2017,ALDI 729,67.07,,21263.97
17-Mar-2017,PIZZA HUT,41.38,,21222.59
17-Mar-2017,EZ PASS TOLL,46.59,,21176.00
17-Mar-2017,VENMO PAYMENT,88.42,,21087.58
18-Mar-2017,COSTCO WHSE,125.82,,20961.76
20-Mar-2017,LYFT RIDE,53.19,,20908.57
21-Mar-2017,DENTAL CARE,84.60,,20823.97
21-Mar-2017,AMC THEATRES,57.76,,20766.21
22-Mar-2017,VERIZON WIRELESS,192.59,,20573.62
22-Mar-2017,WHOLE FOODS #4821,95.93,,20477.69
22-Mar-2017,EZ PASS TOLL,26.94,,20450.75
22-Mar-2017,AMAZON.COM,176.37,,20274.38
22-Mar-2017,AMC THEATRES,31.26,,20243.12
26-Mar-2017,TRADER JOE'S,89.73,,20153.39
26-Mar-2017,HOME DEPOT,83.41,,20069.98
27-Mar-2017,WHOLE FOODS #4821,145.21,,19924.77
28-Mar-2017,TARGET.COM,78.93,,19845.84
29-Mar-2017,BEST BUY,106.85,,19738.99
30-Mar-2017,LYFT RIDE,42.94,,19696.05
30-Mar-2017,METRO TRANSIT,16.96,,19679.09
31-Mar-2017,STARBUCKS STORE,59.82,,19619.27
1-Apr-2017,WHOLE FOODS #4821,131.26,,19488.01
1-Apr-2017,PARKING GARAGE,60.84,,19427.17
1-Apr-2017,BEST BUY,134.63,,19292.54
2-Apr-2017,ACH CREDIT EMPLOYER PAYROLL,,5542.06,24834.60
3-Apr-2017,BILL PAY RENT LANDLORD,1395.10,,23439.50
3-Apr-2017,AMAZON MKTP,163.59,,23275.91
3-Apr-2017,NETFLIX.COM,50.54,,23225.37
4-Apr-2017,CHEVRON,47.71,,23177.66
5-Apr-2017,WHOLE FOODS #4821,100.18,,23077.48
5-Apr-2017,CHIPOTLE ONLINE,24.01,,23053.47
5-Apr-2017,SHELL OIL,51.51,,23001.96
6-Apr-2017,METRO TRANSIT,55.77,,22946.19
7-Apr-2017,METRO TRANSIT,16.72,,22929.47
8-Apr-2017,TRADER JOE'S,37.89,,22891.58
8-Apr-2017,DENTAL CARE,48.43,,22843.15
9-Apr-2017,LOCAL BISTRO,26.72,,22816.43
9-Apr-2017,UBER TRIP,45.64,,22770.79
9-Apr-2017,SPOTIFY USA,48.69,,22722.10
10-Apr-2017,STARBUCKS STORE,74.97,,22647.13
10-Apr-2017,IRS USATAXPYMT,1539.70,,21107.43
11-Apr-2017,VENMO CASHOUT,,1134.55,22241.98
11-Apr-2017,WHOLE FOODS #4821,48.47,,22193.51
11-Apr-2017,WALMART SUPERCENTER,103.24,,22090.27
11-Apr-2017,EZ PASS TOLL,47.85,,22042.42
13-Apr-2017,CHEVRON,20.63,,22021.79
13-Apr-2017,STEAM GAMES,13.94,,22007.85
14-Apr-2017,VERIZON WIRELESS,133.30,,21874.55
14-Apr-2017,WHOLE FOODS #4821,113.32,,21761.23
15-Apr-2017,MCDONALD'S,74.15,,21687.08
16-Apr-2017,SUSHI HOUSE,78.39,,21608.69
16-Apr-2017,CITY MEDICAL CLINIC,156.95,,21451.74
16-Apr-2017,VENMO PAYMENT,284.72,,21167.02
18-Apr-2017,BEST BUY,249.74,,20917.28
19-Apr-2017,METRO TRANSIT,60.00,,20857.28
21-Apr-2017,CHIPOTLE ONLINE,36.51,,20820.77
21-Apr-2017,LYFT RIDE,34.95,,20785.82
22-Apr-2017,CVS/PHARMACY,193.36,,20592.46
24-Apr-2017,CITY WATER BILL,76.02,,20516.44
25-Apr-2017,WALMART SUPERCENTER,134.38,,20382.06
25-Apr-2017,PARKING GARAGE,60.25,,20321.81
26-Apr-2017,COSTCO WHSE,46.77,,20275.04
26-Apr-2017,NIKE STORE,168.20,,20106.84
27-Apr-2017,FRESH MARKET,127.31,,19979.53
29-Apr-2017,STARBUCKS STORE,56.18,,19923.35
29-Apr-2017,DISNEYPLUS,63.27,,19860.08
30-Apr-2017,MCDONALD'S,38.10,,19821.98
30-Apr-2017,APPLE.COM/BILL,95.80,,19726.18
2-May-2017,ACH CREDIT EMPLOYER PAYROLL,,5483.40,25209.58
2-May-2017,SUSHI HOUSE,43.40,,25166.18
2-May-2017,APPLE.COM/BILL,139.40,,25026.78
3-May-2017,BILL PAY RENT LANDLORD,1388.28,,23638.50
3-May-2017,SHELL OIL,17.02,,23621.48
4-May-2017,KROGER #1190,74.99,,23546.49
4-May-2017,WALMART SUPERCENTER,155.30,,23391.19
5-May-2017,FRESH MARKET,48.17,,23343.02
5-May-2017,AMAZON.COM,146.04,,23196.98
7-May-2017,PLANET FITNESS,206.51,,22990.47
8-May-2017,ALDI 729,143.80,,22846.67
9-May-2017,SHELL OIL,28.01,,22818.66
10-May-2017,SHELL OIL,9.58,,22809.08
10-May-2017,CHEVRON,52.80,,22756.28
12-May-2017,ELECTRIC COMPANY,63.58,,22692.70
14-May-2017,LOCAL BISTRO,29.24,,22663.46
14-May-2017,AMAZON.COM,201.83,,22461.63
15-May-2017,COMCAST CABLE,176.55,,22285.08
15-May-2017,COMCAST CABLE,156.85,,22128.23
15-May-2017,AMC THEATRES,11.80,,22116.43
16-May-2017,SUSHI HOUSE,9.42,,22107.01
16-May-2017,DISNEYPLUS,48.85,,22058.16
17-May-2017,UBER EATS,6.87,,22051.29
18-May-2017,COSTCO WHSE,45.77,,22005.52
19-May-2017,CHEVRON,44.98,,21960.54
20-May-2017,LOCAL BISTRO,46.39,,21914.15
20-May-2017,CVS/PHARMACY,196.11,,21718.04
21-May-2017,TARGET.COM,236.00,,21482.04
22-May-2017,LOCAL BISTRO,43.41,,21438.63
23-May-2017,FRESH MARKET,79.19,,21359.44
25-May-2017,UBER TRIP,30.21,,21329.23
26-May-2017,LYFT RIDE,32.54,,21296.69
26-May-2017,AMC THEATRES,21.90,,21274.79
27-May-2017,PARKING GARAGE,7.95,,21266.84
28-May-2017,PIZZA HUT,12.25,,21254.59
28-May-2017,CHEVRON,6.76,,21247.83
29-May-2017,ZELLE TO FRIEND,290.60,,20957.23
31-May-2017,WALMART SUPERCENTER,33.16,,20924.07
31-May-2017,HOME DEPOT,271.53,,20652.54
2-Jun-2017,ACH CREDIT EMPLOYER PAYROLL,,5428.51,26081.05
3-Jun-2017,BILL PAY RENT LANDLORD,1385.49,,24695.56
4-Jun-2017,DOORDASH*RESTAURANT,61.02,,24634.54
4-Jun-2017,METRO TRANSIT,62.33,,24572.21
4-Jun-2017,NIKE STORE,85.86,,24486.35
4-Jun-2017,WALGREENS,122.21,,24364.14
5-Jun-2017,EZ PASS TOLL,16.43,,24347.71
7-Jun-2017,DOORDASH*RESTAURANT,9.17,,24338.54
8-Jun-2017,STARBUCKS STORE,26.62,,24311.92
9-Jun-2017,TARGET.COM,209.04,,24102.88
10-Jun-2017,KROGER #1190,129.30,,23973.58
12-Jun-2017,PAYPAL TRANSFER,,602.49,24576.07
13-Jun-2017,DENTAL CARE,185.38,,24390.69
14-Jun-2017,ALDI 729,20.56,,24370.13
14-Jun-2017,UBER TRIP,4.84,,24365.29
14-Jun-2017,LYFT RIDE,69.58,,24295.71
14-Jun-2017,TARGET.COM,202.07,,24093.64
14-Jun-2017,AMC THEATRES,47.30,,24046.34
15-Jun-2017,AMC THEATRES,26.28,,24020.06
16-Jun-2017,CHIPOTLE ONLINE,48.89,,23971.17
17-Jun-2017,COMCAST CABLE,140.64,,23830.53
17-Jun-2017,PARKING GARAGE,4.87,,23825.66
18-Jun-2017,SUSHI HOUSE,73.57,,23752.09
19-Jun-2017,TRADER JOE'S,116.21,,23635.88
20-Jun-2017,ELECTRIC COMPANY,52.07,,23583.81
20-Jun-2017,CITY WATER BILL,98.61,,23485.20
20-Jun-2017,PARKING GARAGE,32.02,,23453.18
20-Jun-2017,LYFT RIDE,70.97,,23382.21
21-Jun-2017,COSTCO WHSE,59.36,,23322.85
21-Jun-2017,PIZZA HUT,70.92,,23251.93
22-Jun-2017,COSTCO WHSE,62.50,,23189.43
22-Jun-2017,PARKING GARAGE,5.68,,23183.75
22-Jun-2017,SHELL OIL,47.60,,23136.15
24-Jun-2017,GAS UTILITY,194.41,,22941.74
24-Jun-2017,STEAM GAMES,38.28,,22903.46
25-Jun-2017,MCDONALD'S,68.68,,22834.78
25-Jun-2017,CVS/PHARMACY,112.12,,22722.66
26-Jun-2017,LOCAL BISTRO,8.34,,22714.32
28-Jun-2017,TRADER JOE'S,97.31,,22617.01
30-Jun-2017,ALDI 729,117.40,,22499.61
30-Jun-2017,CHIPOTLE ONLINE,46.49,,22453.12
30-Jun-2017,UBER TRIP,17.65,,22435.47
2-Jul-2017,ACH CREDIT EMPLOYER PAYROLL,,5644.79,28080.26
2-Jul-2017,MCDONALD'S,52.59,,28027.67
2-Jul-2017,EZ PASS TOLL,20.62,,28007.05
3-Jul-2017,BILL PAY RENT LANDLORD,1396.28,,26610.77
3-Jul-2017,PARKING GARAGE,40.22,,26570.55
