Date,Description,Debit,Credit,Balance
2016-11-03,COSTCO WHSE,43.80,,15348.19
2016-11-03,CHIPOTLE ONLINE,78.98,,15269.21
2016-11-03,METRO TRANSIT,34.77,,15234.44
2016-11-04,MCDONALD'S,34.78,,15199.66
2016-11-04,CHEVRON,52.30,,15147.36
2016-11-05,CVS/PHARMACY,106.07,,15041.29
2016-11-06,EZ PASS TOLL,25.22,,15016.07
2016-11-08,CHIPOTLE ONLINE,16.26,,14999.81
2016-11-08,LYFT RIDE,16.51,,14983.30
2016-11-08,SHELL OIL,36.99,,14946.31
2016-11-09,ELECTRIC COMPANY,58.81,,14887.50
2016-11-09,ALDI 729,79.99,,14807.51
2016-11-09,IKEA,276.51,,14531.00
2016-11-10,ETSY.COM,245.71,,14285.29
2016-11-11,PIZZA HUT,65.75,,14219.54
2016-11-11,ATM WITHDRAWAL,207.40,,14012.14
2016-11-12,PIZZA HUT,66.21,,13945.93
2016-11-12,TICKETMASTER,23.65,,13922.28
2016-11-13,FRESH MARKET,73.33,,13848.95
2016-11-13,CHEVRON,16.40,,13832.55
2016-11-14,CITY MEDICAL CLINIC,100.91,,13731.64
2016-11-15,VERIZON WIRELESS,123.02,,13608.62
2016-11-16,VENMO CASHOUT,,1079.31,14687.93
2016-11-16,PARKING GARAGE,47.84,,14640.09
2016-11-16,LYFT RIDE,8.92,,14631.17
2016-11-17,COSTCO WHSE,130.37,,14500.80
2016-11-17,BEST BUY,199.74,,14301.06
2016-11-18,WHOLE FOODS #4821,59.85,,14241.21
2016-11-20,PARKING GARAGE,22.65,,14218.56
2016-11-21,AMAZON MKTP,241.42,,13977.14
2016-11-21,STEAM GAMES,39.40,,13937.74
2016-11-22,ETSY.COM,173.47,,13764.27
2016-11-23,ELECTRIC COMPANY,88.14,,13676.13
2016-11-23,LYFT RIDE,25.10,,13651.03
2016-11-24,ETSY.COM,30.98,,13620.05
2016-11-25,TARGET.COM,33.83,,13586.22
2016-11-25,BEST BUY,203.98,,13382.24
2016-11-26,BEST BUY,90.38,,13291.86
2016-11-26,ETSY.COM,122.05,,13169.81
2016-11-27,AMAZON.COM,207.34,,12962.47
2016-11-28,COSTCO WHSE,60.41,,12902.06
2016-12-02,ACH CREDIT EMPLOYER PAYROLL,,5223.70,18125.76
2016-12-02,WALMART SUPERCENTER,131.89,,17993.87
2016-12-02,UBER TRIP,26.93,,17966.94
2016-12-03,BILL PAY RENT LANDLORD,1347.57,,16619.37
2016-12-03,KROGER #1190,69.80,,16549.57
2016-12-05,DOORDASH*RESTAURANT,8.37,,16541.20
2016-12-05,AMC THEATRES,15.99,,16525.21
2016-12-07,VERIZON WIRELESS,192.34,,16332.87
2016-12-08,CITY WATER BILL,111.81,,16221.06
2016-12-08,SUSHI HOUSE,53.95,,16167.11
2016-12-09,SPOTIFY USA,63.54,,16103.57
2016-12-10,COMCAST CABLE,105.93,,15997.64
2016-12-11,UBER TRIP,20.89,,15976.75
2016-12-13,DISNEYPLUS,9.36,,15967.39
2016-12-14,CHEVRON,30.50,,15936.89
2016-12-15,STARBUCKS STORE,64.19,,15872.70
2016-12-15,UBER TRIP,32.42,,15840.28
2016-12-15,BEST BUY,64.74,,15775.54
2016-12-16,VENMO CASHOUT,,532.39,16307.93
2016-12-16,MCDONALD'S,56.41,,16251.52
2016-12-16,DOORDASH*RESTAURANT,30.36,,16221.16
2016-12-16,EZ PASS TOLL,24.78,,16196.38
2016-12-18,TRADER JOE'S,77.42,,16118.96
2016-12-18,CHEVRON,30.80,,16088.16
2016-12-18,APPLE.COM/BILL,127.74,,15960.42
2016-12-19,VENMO PAYMENT,67.03,,15893.39
2016-12-21,ACH CREDIT YEAR END BONUS,,2064.20,17957.59
2016-12-21,COSTCO WHSE,100.81,,17856.78
2016-12-22,TRADER JOE'S,138.95,,17717.83
2016-12-22,UBER TRIP,41.22,,17676.61
2016-12-23,PARKING GARAGE,33.69,,17642.92
2016-12-24,PIZZA HUT,64.86,,17578.06
2016-12-26,APPLE.COM/BILL,239.61,,17338.45
2016-12-27,WALMART SUPERCENTER,117.70,,17220.75
2016-12-28,WALMART SUPERCENTER,111.65,,17109.10
2016-12-29,COSTCO WHSE,144.60,,16964.50
2016-12-29,PLANET FITNESS,72.74,,16891.76
2016-12-30,MCDONALD'S,32.36,,16859.40
2017-01-01,ACH CREDIT EMPLOYER PAYROLL,,5548.22,22407.62
2017-01-01,WHOLE FOODS #4821,153.91,,22253.71
2017-01-01,TRADER JOE'S,37.62,,22216.09
2017-01-02,PIZZA HUT,62.01,,22154.08
2017-01-02,IKEA,54.74,,22099.34
2017-01-03,BILL PAY RENT LANDLORD,1395.84,,20703.50
2017-01-04,KROGER #1190,109.61,,20593.89
2017-01-04,PIZZA HUT,76.20,,20517.69
2017-01-06,GAS UTILITY,84.48,,20433.21
2017-01-07,SPOTIFY USA,19.59,,20413.62
2017-01-07,STEAM GAMES,45.58,,20368.04
2017-01-10,SPOTIFY USA,18.06,,20349.98
2017-01-11,AMAZON.COM,194.67,,20155.31
2017-01-12,LOCAL BISTRO,52.19,,20103.12
2017-01-12,BEST BUY,85.18,,20017.94
2017-01-14,VERIZON WIRELESS,95.68,,19922.26
2017-01-14,FRESH MARKET,101.29,,19820.97
2017-01-14,EZ PASS TOLL,30.89,,19790.08
2017-01-15,ALDI 729,140.49,,19649.59
2017-01-15,INSURANCE ANNUAL PREMIUM,975.96,,18673.63
2017-01-16,UBER TRIP,49.18,,18624.45
2017-01-16,VENMO PAYMENT,131.27,,18493.18
2017-01-17,DENTAL CARE,138.59,,18354.59
2017-01-18,MCDONALD'S,54.14,,18300.45
2017-01-18,IKEA,149.28,,18151.17
2017-01-20,SHELL OIL,45.30,,18105.87
2017-01-20,LYFT RIDE,30.00,,18075.87
2017-01-21,EZ PASS TOLL,69.01,,18006.86
2017-01-21,SHELL OIL,38.08,,17968.78
2017-01-21,IKEA,264.66,,17704.12
2017-01-23,MCDONALD'S,61.97,,17642.15
2017-01-24,ALDI 729,48.16,,17593.99
2017-01-24,UBER EATS,8.69,,17585.30
2017-01-24,UBER EATS,10.29,,17575.01
2017-01-24,EZ PASS TOLL,6.66,,17568.35
2017-01-24,CHEVRON,23.87,,17544.48
2017-01-24,WALGREENS,9.43,,17535.05
2017-01-26,STARBUCKS STORE,72.83,,17462.22
2017-01-27,COSTCO WHSE,150.42,,17311.80
2017-01-28,EZ PASS TOLL,10.65,,17301.15
2017-01-29,AMC THEATRES,30.21,,17270.94
2017-01-30,UBER TRIP,60.39,,17210.55
2017-01-30,METRO TRANSIT,54.03,,17156.52
2017-01-31,SHELL OIL,33.38,,17123.14
2017-02-01,ACH CREDIT EMPLOYER PAYROLL,,5380.36,22503.50
2017-02-02,PIZZA HUT,81.48,,22422.02
2017-02-02,UBER EATS,12.85,,22409.17
2017-02-02,SHELL OIL,14.59,,22394.58
2017-02-02,EZ PASS TOLL,10.01,,22384.57
2017-02-02,METRO TRANSIT,13.81,,22370.76
2017-02-02,APPLE.COM/BILL,225.47,,22145.29
2017-02-02,TICKETMASTER,58.67,,22086.62
2017-02-03,BILL PAY RENT LANDLORD,1390.44,,20696.18
2017-02-04,VENMO PAYMENT,120.55,,20575.63
2017-02-05,SUSHI HOUSE,72.27,,20503.36
2017-02-05,PARKING GARAGE,56.41,,20446.95
2017-02-07,METRO TRANSIT,16.65,,20430.30
2017-02-07,AMAZON.COM,192.43,,20237.87
2017-02-07,AMC THEATRES,9.25,,20228.62
2017-02-09,TRADER JOE'S,29.13,,20199.49
2017-02-09,ALDI 729,25.13,,20174.36
2017-02-09,WHOLE FOODS #4821,22.07,,20152.29
2017-02-10,TRADER JOE'S,35.42,,20116.87
2017-02-10,WALMART SUPERCENTER,52.95,,20063.92
2017-02-10,MCDONALD'S,69.09,,19994.83
2017-02-11,DENTAL CARE,91.62,,19903.21
2017-02-12,CITY WATER BILL,83.21,,19820.00
2017-02-12,PIZZA HUT,31.12,,19788.88
2017-02-13,ELECTRIC COMPANY,131.46,,19657.42
2017-02-13,WHOLE FOODS #4821,91.36,,19566.06
2017-02-13,CHEVRON,19.46,,19546.60
2017-02-14,DOORDASH*RESTAURANT,19.82,,19526.78
2017-02-16,EZ PASS TOLL,45.26,,19481.52
2017-02-16,SHELL OIL,20.26,,19461.26
2017-02-17,DISNEYPLUS,38.44,,19422.82
2017-02-19,PIZZA HUT,77.13,,19345.69
2017-02-20,TRADER JOE'S,54.44,,19291.25
2017-02-21,AMAZON.COM,220.34,,19070.91
2017-02-22,CHEVRON,5.44,,19065.47
2017-02-24,AMAZON MKTP,207.67,,18857.80
2017-02-26,PLANET FITNESS,179.56,,18678.24
2017-02-27,METRO TRANSIT,7.03,,18671.21
2017-02-27,NETFLIX.COM,24.21,,18647.00
2017-02-28,ALDI 729,157.01,,18489.99
2017-03-01,ACH CREDIT EMPLOYER PAYROLL,,5466.06,23956.05
2017-03-03,BILL PAY RENT LANDLORD,1405.83,,22550.22
2017-03-04,UBER EATS,12.47,,22537.75
2017-03-05,ELECTRIC COMPANY,94.69,,22443.06
2017-03-05,DOORDASH*RESTAURANT,50.74,,22392.32
2017-03-05,TARGET.COM,61.68,,22330.64
2017-03-06,LOCAL BISTRO,19.32,,22311.32
2017-03-07,EZ PASS TOLL,64.54,,22246.78
2017-03-07,TARGET.COM,220.61,,22026.17
2017-03-09,UBER TRIP,25.37,,22000.80
2017-03-09,BEST BUY,140.69,,21860.11
2017-03-11,UBER TRIP,22.55,,21837.56
2017-03-12,PARKING GARAGE,27.38,,21810.18
2017-03-13,EZ PASS TOLL,65.95,,21744.23
2017-03-13,PARKING GARAGE,53.92,,21690.31
2017-03-14,DOORDASH*RESTAURANT,75.12,,21615.19
2017-03-15,CVS/PHARMACY,27.77,,21587.42
2017-03-15,NETFLIX.COM,29.53,,21557.89
2017-03-16,PARKING GARAGE,29.52,,21528.37
2017-03-16,METRO TRANSIT,54.89,,21473.48
2017-03-17,WHOLE FOODS #4821,142.44,,21331.04
2017-03-17,ALDI 729,67.07,,21263.97
2017-03-17,PIZZA HUT,41.38,,21222.59
2017-03-17,EZ PASS TOLL,46.59,,21176.00
2017-03-17,VENMO PAYMENT,88.42,,21087.58
2017-03-18,COSTCO WHSE,125.82,,20961.76
2017-03-20,LYFT RIDE,53.19,,20908.57
2017-03-21,DENTAL CARE,84.60,,20823.97
2017-03-21,AMC THEATRES,57.76,,20766.21
2017-03-22,VERIZON WIRELESS,192.59,,20573.62
2017-03-22,WHOLE FOODS #4821,95.93,,20477.69
2017-03-22,EZ PASS TOLL,26.94,,20450.75
2017-03-22,AMAZON.COM,176.37,,20274.38
2017-03-22,AMC THEATRES,31.26,,20243.12
2017-03-26,TRADER JOE'S,89.73,,20153.39
2017-03-26,HOME DEPOT,83.41,,20069.98
2017-03-27,WHOLE FOODS #4821,145.21,,19924.77
2017-03-28,TARGET.COM,78.93,,19845.84
2017-03-29,BEST BUY,106.85,,19738.99
2017-03-30,LYFT RIDE,42.94,,19696.05
2017-03-30,METRO TRANSIT,16.96,,19679.09
2017-03-31,STARBUCKS STORE,59.82,,19619.27
2017-04-01,WHOLE FOODS #4821,131.26,,19488.01
2017-04-01,PARKING GARAGE,60.84,,19427.17
2017-04-01,BEST BUY,134.63,,19292.54
2017-04-02,ACH CREDIT EMPLOYER PAYROLL,,5542.06,24834.60
2017-04-03,BILL PAY RENT LANDLORD,1395.10,,23439.50
2017-04-03,AMAZON MKTP,163.59,,23275.91
2017-04-03,NETFLIX.COM,50.54,,23225.37
2017-04-04,CHEVRON,47.71,,23177.66
2017-04-05,WHOLE FOODS #4821,100.18,,23077.48
2017-04-05,CHIPOTLE ONLINE,24.01,,23053.47
2017-04-05,SHELL OIL,51.51,,23001.96
2017-04-06,METRO TRANSIT,55.77,,22946.19
2017-04-07,METRO TRANSIT,16.72,,22929.47
2017-04-08,TRADER JOE'S,37.89,,22891.58
2017-04-08,DENTAL CARE,48.43,,22843.15
2017-04-09,LOCAL BISTRO,26.72,,22816.43
2017-04-09,UBER TRIP,45.64,,22770.79
2017-04-09,SPOTIFY USA,48.69,,22722.10
2017-04-10,STARBUCKS STORE,74.97,,22647.13
2017-04-10,IRS USATAXPYMT,1539.70,,21107.43
2017-04-11,VENMO CASHOUT,,1134.55,22241.98
2017-04-11,WHOLE FOODS #4821,48.47,,22193.51
2017-04-11,WALMART SUPERCENTER,103.24,,22090.27
2017-04-11,EZ PASS TOLL,47.85,,22042.42
2017-04-13,CHEVRON,20.63,,22021.79
2017-04-13,STEAM GAMES,13.94,,22007.85
2017-04-14,VERIZON WIRELESS,133.30,,21874.55
2017-04-14,WHOLE FOODS #4821,113.32,,21761.23
2017-04-15,MCDONALD'S,74.15,,21687.08
2017-04-16,SUSHI HOUSE,78.39,,21608.69
2017-04-16,CITY MEDICAL CLINIC,156.95,,21451.74
2017-04-16,VENMO PAYMENT,284.72,,21167.02
2017-04-18,BEST BUY,249.74,,20917.28
2017-04-19,METRO TRANSIT,60.00,,20857.28
2017-04-21,CHIPOTLE ONLINE,36.51,,20820.77
2017-04-21,LYFT RIDE,34.95,,20785.82
2017-04-22,CVS/PHARMACY,193.36,,20592.46
2017-04-24,CITY WATER BILL,76.02,,20516.44
2017-04-25,WALMART SUPERCENTER,134.38,,20382.06
2017-04-25,PARKING GARAGE,60.25,,20321.81
2017-04-26,COSTCO WHSE,46.77,,20275.04
2017-04-26,NIKE STORE,168.20,,20106.84
2017-04-27,FRESH MARKET,127.31,,19979.53
2017-04-29,STARBUCKS STORE,56.18,,19923.35
2017-04-29,DISNEYPLUS,63.27,,19860.08
2017-04-30,MCDONALD'S,38.10,,19821.98
2017-04-30,APPLE.COM/BILL,95.80,,19726.18
2017-05-02,ACH CREDIT EMPLOYER PAYROLL,,5483.40,25209.58
2017-05-02,SUSHI HOUSE,43.40,,25166.18
2017-05-02,APPLE.COM/BILL,139.40,,25026.78
2017-05-03,BILL PAY RENT LANDLORD,1388.28,,23638.50
2017-05-03,SHELL OIL,17.02,,23621.48
2017-05-04,KROGER #1190,74.99,,23546.49
2017-05-04,WALMART SUPERCENTER,155.30,,23391.19
2017-05-05,FRESH MARKET,48.17,,23343.02
2017-05-05,AMAZON.COM,146.04,,23196.98
2017-05-07,PLANET FITNESS,206.51,,22990.47
2017-05-08,ALDI 729,143.80,,22846.67
2017-05-09,SHELL OIL,28.01,,22818.66
2017-05-10,SHELL OIL,9.58,,22809.08
2017-05-10,CHEVRON,52.80,,22756.28
2017-05-12,ELECTRIC COMPANY,63.58,,22692.70
2017-05-14,LOCAL BISTRO,29.24,,22663.46
2017-05-14,AMAZON.COM,201.83,,22461.63
2017-05-15,COMCAST CABLE,176.55,,22285.08
2017-05-15,COMCAST CABLE,156.85,,22128.23
2017-05-15,AMC THEATRES,11.80,,22116.43
2017-05-16,SUSHI HOUSE,9.42,,22107.01
2017-05-16,DISNEYPLUS,48.85,,22058.16
2017-05-17,UBER EATS,6.87,,22051.29
2017-05-18,COSTCO WHSE,45.77,,22005.52
2017-05-19,CHEVRON,44.98,,21960.54
2017-05-20,LOCAL BISTRO,46.39,,21914.15
2017-05-20,CVS/PHARMACY,196.11,,21718.04
2017-05-21,TARGET.COM,236.00,,21482.04
2017-05-22,LOCAL BISTRO,43.41,,21438.63
2017-05-23,FRESH MARKET,79.19,,21359.44
2017-05-25,UBER TRIP,30.21,,21329.23
2017-05-26,LYFT RIDE,32.54,,21296.69
2017-05-26,AMC THEATRES,21.90,,21274.79
2017-05-27,PARKING GARAGE,7.95,,21266.84
2017-05-28,PIZZA HUT,12.25,,21254.59
2017-05-28,CHEVRON,6.76,,21247.83
2017-05-29,ZELLE TO FRIEND,290.60,,20957.23
2017-05-31,WALMART SUPERCENTER,33.16,,20924.07
2017-05-31,HOME DEPOT,271.53,,20652.54
2017-06-02,ACH CREDIT EMPLOYER PAYROLL,,5428.51,26081.05
2017-06-03,BILL PAY RENT LANDLORD,1385.49,,24695.56
2017-06-04,DOORDASH*RESTAURANT,61.02,,24634.54
2017-06-04,METRO TRANSIT,62.33,,24572.21
2017-06-04,NIKE STORE,85.86,,24486.35
2017-06-04,WALGREENS,122.21,,24364.14
2017-06-05,EZ PASS TOLL,16.43,,24347.71
2017-06-07,DOORDASH*RESTAURANT,9.17,,24338.54
2017-06-08,STARBUCKS STORE,26.62,,24311.92
2017-06-09,TARGET.COM,209.04,,24102.88
2017-06-10,KROGER #1190,129.30,,23973.58
2017-06-12,PAYPAL TRANSFER,,602.49,24576.07
2017-06-13,DENTAL CARE,185.38,,24390.69
2017-06-14,ALDI 729,20.56,,24370.13
2017-06-14,UBER TRIP,4.84,,24365.29
2017-06-14,LYFT RIDE,69.58,,24295.71
2017-06-14,TARGET.COM,202.07,,24093.64
2017-06-14,AMC THEATRES,47.30,,24046.34
2017-06-15,AMC THEATRES,26.28,,24020.06
2017-06-16,CHIPOTLE ONLINE,48.89,,23971.17
2017-06-17,COMCAST CABLE,140.64,,23830.53
2017-06-17,PARKING GARAGE,4.87,,23825.66
2017-06-18,SUSHI HOUSE,73.57,,23752.09
2017-06-19,TRADER JOE'S,116.21,,23635.88
2017-06-20,ELECTRIC COMPANY,52.07,,23583.81
2017-06-20,CITY WATER BILL,98.61,,23485.20
2017-06-20,PARKING GARAGE,32.02,,23453.18
2017-06-20,LYFT RIDE,70.97,,23382.21
2017-06-21,COSTCO WHSE,59.36,,23322.85
2017-06-21,PIZZA HUT,70.92,,23251.93
2017-06-22,COSTCO WHSE,62.50,,23189.43
2017-06-22,PARKING GARAGE,5.68,,23183.75
2017-06-22,SHELL OIL,47.60,,23136.15
2017-06-24,GAS UTILITY,194.41,,22941.74
2017-06-24,STEAM GAMES,38.28,,22903.46
2017-06-25,MCDONALD'S,68.68,,22834.78
2017-06-25,CVS/PHARMACY,112.12,,22722.66
2017-06-26,LOCAL BISTRO,8.34,,22714.32
2017-06-28,TRADER JOE'S,97.31,,22617.01
2017-06-30,ALDI 729,117.40,,22499.61
2017-06-30,CHIPOTLE ONLINE,46.49,,22453.12
2017-06-30,UBER TRIP,17.65,,22435.47
2017-07-02,ACH CREDIT EMPLOYER PAYROLL,,5644.79,28080.26
2017-07-02,MCDONALD'S,52.59,,28027.67
2017-07-02,EZ PASS TOLL,20.62,,28007.05
2017-07-03,BILL PAY RENT LANDLORD,1396.28,,26610.77
2017-07-03,PARKING GARAGE,40.22,,26570.55
2017-07-04,FRESH MARKET,84.96,,26485.59
2017-07-06,CHEVRON,47.46,,26438.13
2017-07-06,METRO TRANSIT,33.13,,26405.00
2017-07-06,ATM WITHDRAWAL,136.40,,26268.60
2017-07-07,FRESH MARKET,122.87,,26145.73
2017-07-07,LYFT RIDE,46.51,,26099.22
2017-07-07,SHELL OIL,21.76,,26077.46
2017-07-07,AMAZON.COM,143.40,,25934.06
2017-07-07,NETFLIX.COM,58.45,,25875.61
2017-07-07,SPOTIFY USA,26.55,,25849.06
2017-07-09,WALMART SUPERCENTER,111.50,,25737.56
2017-07-10,CVS/PHARMACY,182.59,,25554.97
2017-07-11,TRADER JOE'S,104.19,,25450.78
2017-07-14,UBER EATS,60.88,,25389.90
2017-07-14,DOORDASH*RESTAURANT,73.64,,25316.26
2017-07-15,DOORDASH*RESTAURANT,47.47,,25268.79
2017-07-18,KROGER #1190,104.56,,25164.23
2017-07-18,AIRLINE TICKET,1123.06,,24041.17
2017-07-19,ELECTRIC COMPANY,153.29,,23887.88
2017-07-19,UBER TRIP,42.70,,23845.18
2017-07-19,IKEA,116.44,,23728.74
2017-07-20,UBER EATS,44.56,,23684.18
2017-07-21,GAS UTILITY,186.45,,23497.73
2017-07-21,METRO TRANSIT,71.10,,23426.63
2017-07-23,METRO TRANSIT,32.22,,23394.41
2017-07-24,LYFT RIDE,44.02,,23350.39
2017-07-25,SUSHI HOUSE,50.59,,23299.80
2017-07-25,CHEVRON,24.15,,23275.65
2017-07-25,TARGET.COM,118.25,,23157.40
2017-07-25,NIKE STORE,116.45,,23040.95
2017-07-26,DENTAL CARE,187.83,,22853.12
2017-07-27,COSTCO WHSE,145.67,,22707.45
2017-07-29,COSTCO WHSE,67.00,,22640.45
